,iid,age,dominant_race,dominant_emotion
1085,3709,28,white,neutral
1086,2662,28,white,neutral
1087,2663,34,white,happy
1088,1330,26,white,happy
1089,1331,24,white,happy
1090,5132,26,latino hispanic,happy
1091,5133,26,white,happy
1092,5134,33,white,happy
1093,5135,22,asian,neutral
1094,5136,24,asian,neutral
1095,2839,22,white,neutral
1096,2841,25,asian,neutral
1097,2842,26,white,neutral
1098,2843,22,white,angry
1099,1344,28,white,happy
1100,1501,27,white,happy
1101,1503,23,white,happy
1102,1357,30,white,neutral
1103,1358,23,white,neutral
1104,1359,25,white,happy
1105,2752,26,asian,happy
1106,2753,39,asian,happy
1107,2754,32,asian,happy
1108,2755,28,white,happy
1109,2756,30,latino hispanic,happy
1110,4932,46,white,sad
1111,4933,34,white,happy
1112,4934,37,white,happy
1113,4935,49,white,happy
1114,4936,52,white,happy
1115,4937,46,white,happy
1116,4938,41,white,fear
1117,4939,39,white,happy
1118,4940,44,white,happy
1119,4941,40,white,happy
1120,4860,26,black,neutral
1121,4861,31,white,happy
1122,4862,32,white,neutral
1123,4863,26,latino hispanic,sad
1124,4870,33,latino hispanic,happy
1125,4871,35,white,sad
1126,4873,26,latino hispanic,happy
1127,4874,30,white,neutral
1128,4514,28,white,neutral
1129,4515,25,white,happy
1130,4516,29,white,neutral
1131,4476,24,white,neutral
1132,4477,26,white,neutral
1133,4479,23,white,neutral
1134,4480,29,latino hispanic,neutral
1135,4481,30,asian,neutral
1136,4483,28,latino hispanic,angry
1137,4484,24,white,neutral
1138,3439,23,white,fear
1139,3444,29,white,happy
1140,3445,26,white,neutral
1141,3434,29,white,happy
1142,3435,29,white,happy
1143,3436,29,white,sad
1144,3437,31,latino hispanic,happy
1145,3438,31,white,neutral
1146,3775,28,white,neutral
1147,2300,22,white,neutral
1148,2308,24,white,happy
1149,1858,37,white,happy
1150,1859,42,latino hispanic,sad
1151,1860,40,asian,fear
1152,3822,21,white,neutral
1153,3825,26,white,happy
1154,525,30,white,neutral
1155,527,31,asian,neutral
1156,528,33,white,happy
1157,531,30,white,neutral
1158,533,29,white,happy
1159,4545,23,white,neutral
1160,4553,23,white,neutral
1161,4554,29,white,angry
1162,4555,29,white,neutral
1163,4556,29,white,happy
1164,4557,22,white,neutral
1165,4558,29,white,neutral
1166,4559,24,white,angry
1167,1633,29,white,happy
1168,273,34,white,sad
1169,274,32,white,happy
1170,1673,29,white,happy
1171,1674,29,white,happy
1172,1675,23,latino hispanic,neutral
1173,1677,26,white,neutral
1174,1678,23,white,sad
1175,3512,29,white,happy
1176,3951,30,white,happy
1177,514,25,white,neutral
1178,515,21,white,neutral
1179,517,25,white,neutral
1180,5137,27,white,neutral
1181,5138,29,white,happy
1182,5139,25,white,happy
1183,5140,25,white,neutral
1184,5141,22,white,happy
1185,5142,21,white,happy
1186,5143,20,white,happy
1187,4464,23,white,happy
1188,4466,27,white,happy
1189,4467,30,white,happy
1190,4468,24,white,happy
1191,672,32,asian,happy
1192,674,32,white,happy
1193,3591,23,asian,happy
1194,3592,24,asian,neutral
1195,3593,28,asian,happy
1196,3594,26,latino hispanic,happy
1197,3596,30,latino hispanic,happy
1198,2763,22,latino hispanic,happy
1199,2764,25,asian,happy
1200,2765,26,asian,happy
1201,2766,31,latino hispanic,happy
1202,177,45,white,happy
1203,178,43,white,happy
1204,179,48,middle eastern,happy
1205,444,28,white,neutral
1206,447,29,asian,happy
1207,448,31,asian,happy
1208,3739,33,white,happy
1209,3925,30,white,happy
1210,3929,36,white,happy
1211,4616,23,asian,happy
1212,103,23,asian,sad
1213,104,31,white,neutral
1214,105,24,white,happy
1215,106,26,white,neutral
1216,3040,24,white,happy
1217,3043,25,white,neutral
1218,1431,30,white,happy
1219,1432,33,white,neutral
1220,1433,32,white,happy
1221,1434,33,white,happy
1222,1435,28,white,sad
1223,2341,40,asian,sad
1224,2342,49,white,angry
1225,2343,42,white,happy
1226,2345,46,white,fear
1227,2347,35,asian,angry
1228,1298,32,white,happy
1229,332,32,white,neutral
1230,333,37,white,happy
1231,334,30,white,neutral
1232,335,32,white,happy
1233,336,29,white,neutral
1234,338,33,white,happy
1235,339,32,white,happy
1236,340,34,white,happy
1237,341,33,white,happy
1238,342,33,white,happy
1239,343,35,white,happy
1240,344,32,white,neutral
1241,345,32,white,happy
1242,346,37,white,happy
1243,5144,27,white,neutral
1244,5145,39,white,happy
1245,5146,43,white,happy
1246,5147,34,white,happy
1247,5148,25,white,happy
1248,5149,22,white,happy
1249,5150,30,white,happy
1250,5151,32,white,happy
1251,5152,26,white,happy
1252,5153,33,white,happy
1253,5154,32,white,happy
1254,5155,31,white,neutral
1255,5156,33,white,happy
1256,5157,28,white,happy
1257,5158,32,white,happy
1258,5159,31,white,happy
1259,5160,32,white,happy
1260,1154,45,white,angry
1261,1155,39,latino hispanic,neutral
1262,1156,46,white,angry
1263,1157,44,white,happy
1264,1159,32,white,angry
1265,1160,35,white,happy
1266,1161,36,white,happy
1267,1162,28,white,happy
1268,1164,23,white,sad
1269,1165,38,white,neutral
1270,1166,22,white,angry
1271,1168,23,white,happy
1272,1172,35,white,happy
1273,1173,33,white,happy
1274,1175,43,white,happy
1275,1179,33,white,fear
1276,1181,44,white,happy
1277,1182,31,white,happy
1278,1183,40,white,fear
1279,1184,40,white,neutral
1280,2334,36,black,happy
1281,4827,32,white,happy
1282,4828,27,white,happy
1283,4829,28,white,happy
1284,4830,30,white,happy
1285,4831,32,white,happy
1286,1383,42,latino hispanic,happy
1287,1384,39,asian,happy
1288,2877,25,white,neutral
1289,2878,29,white,neutral
1290,276,33,white,happy
1291,277,36,white,happy
1292,278,31,white,happy
1293,279,36,white,happy
1294,280,32,white,happy
1295,3330,38,latino hispanic,neutral
1296,3331,38,white,neutral
1297,3332,36,latino hispanic,happy
1298,3333,43,latino hispanic,happy
1299,3334,50,latino hispanic,neutral
1300,3335,48,asian,happy
1301,3337,45,white,happy
1302,3338,52,white,happy
1303,3339,34,white,happy
1304,3340,46,latino hispanic,happy
1305,3341,44,white,happy
1306,3342,37,white,happy
1307,3343,39,white,happy
1308,3344,34,white,happy
1309,5161,28,white,happy
1310,5162,39,white,happy
1311,5163,37,latino hispanic,happy
1312,5164,35,white,happy
1313,5165,22,white,happy
1314,5166,35,white,happy
1315,5167,40,white,happy
1316,1318,32,white,happy
1317,1319,32,white,happy
1318,1320,33,white,happy
1319,1321,32,white,happy
1320,637,24,white,happy
1321,640,24,white,happy
1322,641,28,white,happy
1323,4746,50,latino hispanic,angry
1324,4748,49,latino hispanic,happy
1325,1048,28,white,neutral
1326,1053,32,white,happy
1327,1054,27,white,happy
1328,1055,32,white,happy
1329,1056,23,white,neutral
1330,1057,25,latino hispanic,fear
1331,1058,31,white,happy
1332,1059,32,white,happy
1333,1068,23,white,happy
1334,1072,21,latino hispanic,happy
1335,1073,29,white,neutral
1336,1074,26,white,neutral
1337,1076,24,latino hispanic,neutral
1338,1077,28,white,neutral
1339,1078,24,white,happy
1340,1079,30,white,happy
1341,1080,30,white,neutral
1342,5168,30,white,happy
1343,5169,25,white,happy
1344,5170,24,white,happy
1345,5171,30,white,neutral
1346,5172,28,white,neutral
1347,5173,31,white,neutral
1348,1620,33,white,neutral
1349,1621,35,white,happy
1350,1623,33,white,happy
1351,1624,34,white,happy
1352,1617,38,white,happy
1353,1618,33,white,happy
1354,1619,36,white,happy
1355,5174,35,black,neutral
1356,5175,39,black,neutral
1357,5176,34,black,happy
1358,5177,31,black,neutral
1359,5178,37,black,sad
1360,5179,36,black,happy
1361,5180,34,black,neutral
1362,501,23,white,happy
1363,503,28,white,happy
1364,504,29,white,happy
1365,505,23,white,sad
1366,507,27,white,happy
1367,508,22,white,neutral
1368,509,30,white,fear
1369,511,30,white,happy
1370,512,22,asian,happy
1371,4345,22,white,neutral
1372,4346,22,white,neutral
1373,4348,21,white,neutral
1374,4349,21,white,neutral
1375,1138,20,white,happy
1376,4667,20,white,neutral
1377,4668,20,white,neutral
1378,549,22,white,happy
1379,550,22,white,neutral
1380,551,22,white,neutral
1381,552,21,white,neutral
1382,553,22,white,angry
1383,554,23,white,happy
1384,555,22,white,happy
1385,5181,26,black,happy
1386,5182,30,latino hispanic,happy
1387,5183,25,latino hispanic,happy
1388,5184,26,latino hispanic,happy
1389,5185,30,black,happy
1390,5186,30,black,happy
1391,426,30,black,happy
1392,429,30,indian,happy
1393,430,31,latino hispanic,angry
1394,431,28,black,happy
1395,432,39,latino hispanic,happy
1396,433,26,indian,happy
1397,434,28,indian,angry
1398,435,31,black,happy
1399,436,31,black,happy
1400,847,23,white,neutral
1401,848,24,white,angry
1402,849,26,white,neutral
1403,5187,24,white,happy
1404,5188,22,white,happy
1405,5189,21,white,happy
1406,5190,21,white,happy
1407,5192,25,white,happy
1408,5193,22,white,neutral
1409,3323,22,latino hispanic,happy
1410,3324,30,white,neutral
1411,3326,27,white,happy
1412,3327,25,white,angry
1413,3329,28,white,happy
1414,1258,25,white,happy
1415,1260,23,middle eastern,happy
1416,2107,25,white,happy
1417,2108,29,white,happy
1418,2109,25,white,happy
1419,2110,28,white,happy
1420,2111,28,white,happy
1421,2112,29,white,happy
1422,2113,28,white,happy
1423,2114,27,white,happy
1424,230,33,white,neutral
1425,231,33,white,happy
1426,235,37,white,happy
1427,2124,27,white,neutral
1428,2125,23,white,sad
1429,2126,31,white,happy
1430,2127,27,white,happy
1431,2128,28,white,happy
1432,2129,30,white,happy
1433,2130,23,white,happy
1434,2131,28,white,happy
1435,534,33,white,neutral
1436,535,27,white,sad
1437,536,28,white,neutral
1438,539,31,white,happy
1439,540,32,white,sad
1440,541,33,white,sad
1441,542,28,white,happy
1442,544,28,white,neutral
1443,545,28,white,neutral
1444,547,35,white,happy
1445,548,33,white,neutral
1446,1243,31,white,angry
1447,1244,31,latino hispanic,happy
1448,1245,29,latino hispanic,happy
1449,1246,31,latino hispanic,happy
1450,1247,30,latino hispanic,happy
1451,1248,28,latino hispanic,happy
1452,1251,30,latino hispanic,happy
1453,2310,31,white,happy
1454,2311,35,white,happy
1455,2312,33,indian,happy
1456,2313,35,white,happy
1457,2314,33,white,happy
1458,2315,32,white,happy
1459,2316,29,white,happy
1460,2317,32,white,happy
1461,2318,32,white,happy
1462,2319,33,white,happy
1463,2320,32,white,happy
1464,2321,33,white,happy
1465,2322,33,white,happy
1466,1644,33,white,happy
1467,1647,33,white,happy
1468,1648,41,white,happy
1469,1649,33,white,happy
1470,1651,35,white,happy
1471,1654,40,white,happy
1472,1656,34,white,happy
1473,1703,34,white,happy
1474,1705,37,white,happy
1475,2379,51,asian,happy
1476,2381,47,white,happy
1477,2383,50,white,sad
1478,2384,46,white,happy
1479,2385,42,white,happy
1480,1657,32,white,neutral
1481,1663,32,asian,happy
1482,1664,32,white,happy
1483,1665,31,white,happy
1484,1666,31,white,neutral
1485,1672,32,white,happy
1486,5194,33,white,happy
1487,5195,34,white,happy
1488,5196,33,white,happy
1489,5197,36,white,happy
1490,5198,31,white,happy
1491,5199,34,white,happy
1492,5200,37,latino hispanic,happy
1493,5201,30,white,happy
1494,5202,31,white,happy
1495,5203,33,white,happy
1496,5204,32,white,happy
1497,5205,33,white,happy
1498,5206,31,white,happy
1499,5207,36,white,happy
1500,5208,50,white,sad
1501,306,30,white,happy
1502,307,39,white,happy
1503,308,40,white,happy
1504,309,35,white,happy
1505,310,29,white,happy
1506,311,33,white,happy
1507,312,36,white,happy
1508,313,30,white,happy
1509,315,31,white,neutral
1510,4091,52,white,happy
1511,4092,56,white,happy
1512,4093,44,white,happy
1513,4094,43,white,happy
1514,4095,39,white,sad
1515,4096,38,white,happy
1516,4099,47,white,happy
1517,4100,35,white,happy
1518,1709,29,white,happy
1519,1710,32,white,neutral
1520,1712,31,white,happy
1521,1713,29,white,happy
1522,1714,33,white,neutral
1523,1715,30,white,happy
1524,1716,32,white,happy
1525,1717,33,white,happy
1526,2386,41,white,happy
1527,2387,38,white,angry
1528,2388,42,white,happy
1529,2389,46,latino hispanic,happy
1530,2390,47,white,neutral
1531,2391,39,white,happy
1532,2392,36,white,happy
1533,1236,30,white,happy
1534,1238,30,white,happy
1535,1240,34,white,happy
1536,1241,33,white,neutral
1537,1242,35,white,neutral
1538,4161,32,white,happy
1539,4162,33,white,neutral
1540,4163,39,white,fear
1541,4164,43,white,happy
1542,4165,32,white,neutral
1543,4377,45,white,neutral
1544,4379,32,white,neutral
1545,4380,47,white,happy
1546,4381,32,white,neutral
1547,4383,39,white,happy
1548,4384,39,asian,happy
1549,1143,43,white,happy
1550,1144,38,white,happy
1551,1148,32,white,happy
1552,1149,48,white,happy
1553,1150,51,white,happy
1554,1151,34,white,happy
1555,2490,36,white,happy
1556,2491,28,asian,happy
1557,2492,34,white,neutral
1558,2493,33,white,happy
1559,2494,33,white,happy
1560,2496,37,white,happy
1561,2497,37,white,happy
1562,2498,40,white,happy
1563,2499,34,white,happy
1564,2500,42,white,sad
1565,2501,33,white,happy
1566,2502,35,white,happy
1567,3491,34,white,happy
1568,3492,39,white,happy
1569,3494,32,white,happy
1570,3495,39,white,happy
1571,3497,34,white,happy
1572,3498,40,white,happy
1573,3499,39,white,happy
1574,3500,36,white,happy
1575,3501,32,white,happy
1576,5209,32,white,happy
1577,5210,33,white,happy
1578,5211,31,white,happy
1579,5212,34,white,happy
1580,5213,32,white,happy
1581,5214,34,white,happy
1582,5215,33,white,neutral
1583,5216,32,white,neutral
1584,5217,32,white,happy
1585,5218,31,white,happy
1586,5219,32,white,happy
1587,5220,34,white,happy
1588,3808,34,white,happy
1589,3810,34,white,happy
1590,3811,35,white,happy
1591,1579,51,white,neutral
1592,1580,53,asian,happy
1593,1581,53,middle eastern,happy
1594,1585,46,white,angry
1595,2933,23,white,happy
1596,2934,34,asian,happy
1597,2935,40,white,happy
1598,2741,28,white,happy
1599,2742,36,latino hispanic,happy
1600,5221,32,asian,sad
1601,5222,39,white,happy
1602,5223,36,white,sad
1603,5224,43,white,happy
1604,5225,41,white,happy
1605,5226,27,white,happy
1606,3930,40,white,happy
1607,3931,37,white,happy
1608,3932,30,white,disgust
1609,3934,45,white,happy
1610,5227,27,latino hispanic,happy
1611,5228,26,indian,happy
1612,5229,28,latino hispanic,angry
1613,5230,36,white,neutral
1614,5231,23,latino hispanic,neutral
1615,5232,26,indian,happy
1616,5233,34,latino hispanic,neutral
1617,5234,28,latino hispanic,happy
1618,5235,22,indian,happy
1619,5236,34,indian,happy
1620,2201,26,black,happy
1621,2209,35,latino hispanic,neutral
1622,2210,25,latino hispanic,happy
1623,3968,31,white,happy
1624,3969,26,white,happy
1625,3970,31,white,happy
1626,3971,31,white,happy
1627,3972,27,white,neutral
1628,3973,29,white,neutral
1629,3974,29,white,happy
1630,3975,27,white,happy
1631,159,42,white,happy
1632,5237,31,white,happy
1633,5238,32,white,happy
1634,5240,32,latino hispanic,happy
1635,5241,32,white,happy
1636,5242,41,white,happy
1637,5243,40,white,happy
1638,5244,38,white,happy
1639,5245,33,white,happy
1640,5246,39,white,happy
1641,5247,36,white,happy
1642,5248,34,white,happy
1643,5249,32,white,happy
1644,5250,38,white,happy
1645,5251,37,white,happy
1646,4206,47,asian,happy
1647,4208,33,white,happy
1648,3813,24,white,happy
1649,3816,22,white,neutral
1650,3673,32,white,happy
1651,3674,35,white,happy
1652,3675,34,latino hispanic,happy
1653,3676,29,white,happy
1654,3677,33,white,happy
1655,3678,33,white,happy
1656,3679,32,white,happy
1657,3680,32,white,happy
1658,3681,33,white,happy
1659,3682,34,white,happy
1660,3683,34,white,happy
1661,3684,31,white,happy
1662,3685,33,white,happy
1663,3686,27,white,happy
1664,3687,34,white,happy
1665,3688,33,white,happy
1666,3648,32,white,happy
1667,3650,39,white,happy
1668,3651,36,white,happy
1669,3652,39,white,happy
1670,3653,32,white,happy
1671,3654,33,white,happy
1672,3655,37,white,happy
1673,3656,42,white,happy
1674,3657,34,white,happy
1675,3658,46,white,happy
1676,3659,42,white,happy
1677,3660,35,white,happy
1678,3661,42,white,happy
1679,3662,37,white,happy
1680,3663,39,white,happy
1681,3664,31,white,happy
1682,3665,37,white,happy
1683,3666,40,white,happy
1684,3667,39,white,happy
1685,3668,34,white,happy
1686,3669,33,white,happy
1687,3670,32,white,neutral
1688,3671,43,white,happy
1689,3672,33,white,happy
1690,1134,48,middle eastern,sad
1691,1135,40,white,happy
1692,1136,52,white,happy
1693,1137,46,white,happy
1694,746,21,white,happy
1695,747,22,white,happy
1696,748,23,white,happy
1697,752,27,white,happy
1698,5252,34,white,fear
1699,5253,38,white,neutral
1700,5254,32,white,neutral
1701,5255,33,white,happy
1702,5256,33,white,neutral
1703,5257,41,white,happy
1704,5258,32,black,happy
1705,5259,28,white,neutral
1706,5260,33,white,neutral
1707,5261,31,white,happy
1708,5262,32,white,happy
1709,903,33,white,happy
1710,904,32,white,disgust
1711,906,31,white,happy
1712,779,43,white,neutral
1713,782,35,white,happy
1714,785,33,latino hispanic,happy
1715,787,35,white,happy
1716,788,29,latino hispanic,happy
1717,789,34,white,happy
1718,790,36,white,happy
1719,869,36,white,happy
1720,871,34,white,happy
1721,872,36,white,happy
1722,874,33,white,happy
1723,876,33,white,happy
1724,879,28,white,happy
1725,880,34,white,happy
1726,3992,50,white,happy
1727,3993,26,white,happy
1728,3994,34,white,happy
1729,692,37,white,happy
1730,693,41,white,happy
1731,1093,43,white,happy
1732,1094,40,white,happy
1733,1096,50,white,happy
1734,1097,52,white,happy
1735,3732,31,white,happy
1736,3733,32,white,happy
1737,3734,35,white,happy
1738,3735,32,white,happy
1739,1605,39,white,angry
1740,1606,41,white,happy
1741,1607,40,white,happy
1742,1608,38,white,happy
1743,1609,45,white,sad
1744,5263,34,indian,happy
1745,5264,40,latino hispanic,happy
1746,5265,32,latino hispanic,happy
1747,5266,39,latino hispanic,happy
1748,5268,31,indian,happy
1749,5269,42,indian,sad
1750,5276,39,latino hispanic,happy
1751,5277,34,indian,happy
1752,5278,36,indian,happy
1753,5279,33,latino hispanic,neutral
1754,5280,33,white,sad
1755,5281,33,indian,neutral
1756,5282,37,latino hispanic,happy
1757,5283,38,white,sad
1758,5284,29,white,angry
1759,5285,39,indian,sad
1760,5286,39,white,happy
1761,5287,31,white,happy
1762,5288,37,white,happy
1763,5289,45,latino hispanic,happy
1764,5290,46,white,happy
1765,5291,32,latino hispanic,happy
1766,5292,45,white,happy
1767,5293,38,white,happy
1768,1416,48,white,happy
1769,1419,42,white,happy
1770,5294,33,white,happy
1771,5295,37,white,happy
1772,5296,38,white,happy
1773,5297,41,white,happy
1774,5298,38,white,happy
1775,5299,45,white,happy
1776,5300,46,white,happy
1777,2357,43,white,happy
1778,2358,36,white,happy
1779,2359,43,white,happy
1780,5301,39,indian,sad
1781,5302,45,indian,fear
1782,5303,41,latino hispanic,happy
1783,5304,47,asian,happy
1784,5305,29,latino hispanic,happy
1785,5306,36,latino hispanic,happy
1786,5307,40,latino hispanic,fear
1787,5308,35,white,happy
1788,5309,33,latino hispanic,neutral
1789,5310,30,latino hispanic,happy
1790,5311,40,indian,happy
1791,5312,37,white,neutral
1792,5313,35,latino hispanic,happy
1793,5314,42,latino hispanic,sad
1794,5315,38,indian,sad
1795,5316,35,indian,happy
1796,5317,35,indian,happy
1797,5318,44,latino hispanic,happy
1798,5319,41,indian,happy
1799,5320,36,latino hispanic,happy
1800,5321,37,latino hispanic,happy
1801,5322,33,latino hispanic,happy
1802,5323,27,latino hispanic,sad
1803,5324,29,indian,neutral
1804,5325,27,indian,sad
1805,5326,32,latino hispanic,sad
1806,5327,36,white,happy
1807,5328,39,latino hispanic,happy
1808,5329,31,white,happy
1809,5330,39,asian,happy
1810,5331,42,latino hispanic,happy
1811,1729,43,white,happy
1812,1730,32,asian,happy
1813,1731,43,white,happy
1814,5332,33,white,happy
1815,5333,39,white,neutral
1816,5334,43,white,happy
1817,3367,30,white,happy
1818,3368,35,white,happy
1819,3369,42,white,happy
1820,1185,31,white,happy
1821,1189,32,white,happy
1822,1190,33,white,happy
1823,1192,32,white,happy
1824,1193,32,white,happy
1825,1194,32,white,neutral
1826,1195,31,white,happy
1827,1197,33,white,happy
1828,1198,32,white,neutral
1829,1199,31,white,neutral
1830,1200,32,white,happy
1831,1201,32,white,neutral
1832,1204,31,white,happy
1833,3306,37,white,happy
1834,3307,40,white,happy
1835,3308,25,white,happy
1836,3309,37,latino hispanic,happy
1837,3310,37,white,happy
1838,3311,48,white,happy
1839,3312,52,white,happy
1840,3313,22,white,happy
1841,3314,25,white,happy
1842,3315,34,latino hispanic,happy
1843,4883,33,white,happy
1844,4884,33,white,happy
1845,4885,33,white,happy
1846,4886,28,white,angry
1847,4887,29,white,happy
1848,4888,31,white,happy
1849,4889,34,white,happy
1850,5335,37,white,happy
1851,5336,31,white,fear
1852,5337,37,white,happy
1853,5338,36,white,happy
1854,5339,33,white,sad
1855,5340,35,asian,happy
1856,5341,42,white,happy
1857,5342,45,latino hispanic,happy
1858,5343,32,white,happy
1859,5344,39,white,happy
1860,907,33,white,happy
1861,908,38,white,neutral
1862,909,32,white,happy
1863,910,32,white,happy
1864,911,32,white,neutral
1865,912,33,white,happy
1866,913,37,white,happy
1867,914,32,white,neutral
1868,915,33,white,sad
1869,916,34,white,happy
1870,917,32,white,happy
1871,918,34,white,happy
1872,5345,34,white,happy
1873,5346,34,white,happy
1874,5347,33,white,happy
1875,5348,33,white,happy
1876,5349,33,white,happy
1877,5350,33,white,happy
1878,5351,40,white,happy
1879,5352,35,white,neutral
1880,2433,34,white,neutral
1881,2434,33,white,happy
1882,2436,35,white,sad
1883,2437,36,white,happy
1884,2438,36,white,happy
1885,2439,34,white,neutral
1886,2440,37,white,happy
1887,2441,33,white,happy
1888,2442,40,white,happy
1889,2443,38,white,happy
1890,2444,35,white,happy
1891,2445,35,white,happy
1892,2446,37,white,happy
1893,2447,35,white,happy
1894,2449,36,white,happy
1895,2450,35,white,happy
1896,3935,39,white,sad
1897,3936,39,asian,fear
1898,3937,38,asian,happy
1899,3938,39,asian,happy
1900,3939,36,asian,sad
1901,1943,37,latino hispanic,happy
1902,1944,31,latino hispanic,happy
1903,1945,24,white,happy
1904,1946,27,white,happy
1905,1947,24,white,happy
1906,1948,23,latino hispanic,happy
1907,1950,23,white,happy
1908,1951,23,white,happy
1909,1952,28,white,fear
1910,1953,24,latino hispanic,happy
1911,1954,25,white,happy
1912,1955,34,white,happy
1913,1956,27,white,neutral
1914,1957,23,white,happy
1915,2685,34,white,happy
1916,5353,40,latino hispanic,happy
1917,5354,34,latino hispanic,happy
1918,5355,40,latino hispanic,happy
1919,5356,38,white,happy
1920,5357,37,latino hispanic,happy
1921,5358,26,white,neutral
1922,5359,28,white,happy
1923,5360,24,white,neutral
1924,5361,30,white,happy
1925,5362,30,white,happy
1926,5363,30,white,happy
1927,942,25,white,neutral
1928,5364,31,white,happy
1929,5365,31,white,happy
1930,5366,33,latino hispanic,happy
1931,5367,29,white,happy
1932,5368,31,asian,happy
1933,5369,31,white,happy
1934,5370,32,white,happy
1935,5371,39,white,happy
1936,5372,33,white,happy
1937,5373,29,white,happy
1938,5374,30,white,happy
1939,200,36,white,happy
1940,4942,45,white,happy
1941,4943,23,latino hispanic,happy
1942,4945,45,white,happy
1943,4947,45,asian,happy
1944,4950,42,asian,happy
1945,4951,29,asian,happy
1946,4952,45,white,happy
1947,4954,24,white,neutral
1948,4955,31,asian,happy
1949,2690,43,white,sad
1950,2695,47,white,happy
1951,2697,47,white,neutral
1952,3087,51,white,happy
1953,3088,22,white,happy
1954,3089,25,white,angry
1955,3090,24,white,happy
1956,3091,39,white,happy
1957,3092,27,white,happy
1958,3093,43,white,happy
1959,3094,31,white,happy
1960,3095,23,white,happy
1961,3096,24,white,happy
1962,4621,48,white,happy
1963,4622,53,white,disgust
1964,4624,41,white,neutral
1965,3976,33,white,neutral
1966,3977,35,white,happy
1967,3978,37,white,happy
1968,3979,35,white,happy
1969,3980,37,white,sad
1970,3981,33,white,happy
1971,3982,34,white,happy
1972,3983,36,white,happy
1973,4089,40,white,neutral
1974,5375,32,white,happy
1975,5376,27,white,happy
1976,5377,33,white,happy
1977,5378,34,white,happy
1978,5379,27,white,neutral
1979,5380,28,white,neutral
1980,5381,43,white,happy
1981,5382,39,white,happy
1982,5383,33,indian,happy
1983,5384,29,white,happy
1984,5385,36,white,neutral
1985,5386,29,white,happy
1986,5387,38,white,happy
1987,5388,34,white,happy
1988,5389,33,white,happy
1989,5390,32,white,happy
1990,5391,31,white,happy
1991,5392,33,white,happy
1992,5393,34,white,happy
1993,5394,39,white,happy
1994,5395,34,white,happy
1995,5396,36,white,happy
1996,5397,39,white,happy
1997,5398,40,white,happy
1998,5399,37,white,happy
1999,5400,34,white,happy
2000,5401,32,white,sad
2001,5402,32,white,neutral
2002,5403,36,white,sad
2003,5404,33,white,sad
2004,5405,30,white,sad
2005,5406,31,white,neutral
2006,5407,33,white,neutral
2007,5408,34,white,happy
2008,5409,42,white,happy
2009,5410,37,white,happy
2010,5411,33,white,happy
2011,5419,47,white,happy
2012,5420,42,white,happy
2013,5421,43,white,happy
2014,5422,27,white,happy
2015,5423,35,white,happy
2016,5425,38,white,happy
2017,5426,27,white,happy
2018,5427,41,white,happy
2019,5428,41,white,happy
2020,5429,30,white,happy
2021,5430,47,white,happy
2022,5433,48,white,happy
2023,5437,30,white,happy
2024,5438,32,white,happy
2025,5444,39,white,happy
2026,5446,36,white,happy
2027,5447,40,white,happy
2028,5448,33,latino hispanic,happy
2029,5449,34,white,angry
2030,5450,34,white,happy
2031,5451,48,white,happy
2032,5452,46,white,happy
2033,5453,30,white,neutral
2034,5454,51,white,happy
2035,655,34,white,happy
2036,378,43,white,neutral
2037,379,46,white,sad
2038,381,48,latino hispanic,angry
2039,1098,32,white,neutral
2040,1099,32,white,happy
2041,1100,31,white,neutral
2042,1101,33,white,neutral
2043,1102,33,white,neutral
2044,1103,33,white,happy
2045,1104,30,white,neutral
2046,1105,31,white,happy
2047,1106,33,white,happy
2048,1107,30,white,happy
2049,1108,32,white,happy
2050,1109,30,white,happy
2051,1110,31,white,neutral
2052,1111,32,white,happy
2053,1112,35,white,happy
2054,4211,28,white,happy
2055,4212,28,latino hispanic,happy
2056,4213,32,white,happy
2057,4214,36,white,happy
2058,4215,27,white,neutral
2059,579,31,white,happy
2060,580,30,white,happy
2061,581,33,white,happy
2062,582,29,white,happy
2063,583,30,white,happy
2064,584,29,white,sad
2065,585,33,white,happy
2066,586,33,white,happy
2067,587,31,white,neutral
2068,588,32,latino hispanic,neutral
2069,589,34,white,angry
2070,590,29,white,happy
2071,594,31,white,happy
2072,595,32,white,neutral
2073,212,24,white,happy
2074,213,25,white,happy
2075,214,25,white,happy
2076,215,25,white,happy
2077,216,27,white,happy
2078,217,26,white,happy
2079,1837,32,white,happy
2080,1838,31,white,happy
2081,1839,32,white,happy
2082,1840,32,white,happy
2083,1841,32,white,happy
2084,1842,33,white,happy
2085,1844,34,white,happy
2086,1845,32,white,happy
2087,4844,23,asian,neutral
2088,4845,26,asian,happy
2089,4846,31,asian,happy
2090,4847,31,asian,neutral
2091,4848,27,asian,happy
2092,211,21,latino hispanic,happy
2093,121,29,white,happy
2094,124,24,white,neutral
2095,130,25,white,neutral
2096,2906,25,white,neutral
2097,2907,34,latino hispanic,neutral
2098,2908,31,white,happy
2099,2909,30,white,neutral
2100,2910,32,white,neutral
2101,173,30,white,happy
2102,175,27,white,happy
2103,731,26,white,happy
2104,733,26,white,happy
2105,371,30,latino hispanic,happy
2106,372,29,white,happy
2107,373,30,white,happy
2108,374,31,white,neutral
2109,375,32,latino hispanic,happy
2110,376,32,white,happy
2111,382,31,latino hispanic,happy
2112,383,32,latino hispanic,happy
